Begin Time (s),Begin Time (s),Begin Time (s),Begin Time (s)
,169.96,165.27,161.36
,170.17,165.61,161.90
,170.37,166.00,161.99
,171.86,166.33,162.56
,172.15,166.87,162.89
,172.34,167.13,162.92
,172.79,167.64,163.50
,173.34,168.01,163.84
,173.84,168.46,164.07
,174.67,169.02,164.49
,175.50,169.88,164.59
,176.09,170.05,164.72
,176.80,170.60,164.98
,176.89,170.78,165.43
,177.03,170.93,165.59
,177.31,171.32,165.79
,177.56,171.54,165.95
,178.21,172.19,166.19
,179.32,173.00,166.60
,179.79,173.64,166.99
,180.10,174.05,167.31
,180.39,174.43,168.31
,180.91,174.78,169.13
,182.63,176.26,169.42
,183.92,176.43,169.95
,186.93,176.71,170.53
,187.25,176.94,171.88
,188.85,177.31,172.26
,189.13,177.58,172.76
,189.57,177.98,172.97
,189.94,180.26,173.17
,190.46,181.04,173.41
,190.59,181.68,174.30
,190.86,182.92,174.63
,191.33,183.37,174.96
,191.45,183.73,175.33
,191.98,183.95,175.80
,192.75,184.59,176.00
,192.86,184.87,176.56
,194.00,185.04,177.17
,194.17,185.27,177.44
,194.53,186.41,177.77
,195.38,186.55,177.86
,195.60,187.03,178.96
,195.80,187.82,179.41
,196.34,188.87,179.76
,196.68,189.32,180.03
,196.94,189.77,180.38
,197.12,190.29,181.78
,197.37,190.93,182.26
,198.16,191.94,182.61
,198.43,192.89,183.16
,198.63,193.76,183.64
,199.02,194.95,183.97
,199.47,195.60,185.06
,199.64,196.12,185.57
,200.48,196.36,185.75
,200.87,196.78,186.11
,201.22,197.00,186.41
,201.93,198.00,187.07
,202.12,198.28,187.29
,202.53,198.44,188.22
,202.91,198.79,188.74
,203.03,199.17,188.88
,203.16,199.79,190.15
,203.21,199.94,191.29
,203.69,200.44,191.55
,203.94,200.87,192.22
,204.50,202.75,192.97
,205.05,203.35,193.42
,205.42,203.69,194.35
,205.77,203.96,194.80
,206.04,204.33,195.19
,206.19,204.80,195.59
,206.35,205.04,195.95
,206.57,205.31,196.41
,207.20,205.57,196.90
,208.02,205.92,198.19
,208.63,206.20,198.64
,209.38,206.68,199.51
,209.67,206.86,199.64
,210.01,207.11,199.93
,210.36,207.74,200.92
,210.46,207.86,201.33
,210.58,208.11,201.76
,210.78,208.28,203.41
,211.23,208.65,203.61
,211.54,208.86,204.28
,212.15,209.56,204.63
,212.44,209.94,204.90
,213.07,211.63,205.15
,213.47,211.88,205.33
,213.74,212.20,206.68
,214.09,212.57,207.22
,215.18,213.02,207.41
,215.43,213.54,208.61
,215.62,213.69,208.71
,215.85,214.53,208.87
,216.30,215.19,209.21
,216.53,215.52,209.47
,218.30,215.70,210.61
,218.63,215.86,211.00
,218.84,216.09,211.67
,219.07,216.89,212.04
,219.85,220.15,212.22
,220.85,221.07,212.41
,221.33,221.57,212.90
,221.94,224.78,213.41
,222.31,230.60,213.59
,222.53,232.24,214.33
,222.80,232.42,216.14
,223.57,232.70,216.25
,223.89,232.89,219.03
,224.27,235.14,219.76
,224.51,236.61,220.10
,224.63,236.89,220.25
,225.67,237.26,220.54
,225.88,237.81,221.28
,226.04,238.22,224.82
,227.20,238.73,225.45
,227.47,238.89,226.95
,227.83,242.43,227.20
,228.31,242.63,228.37
,229.21,243.04,229.53
,229.51,243.20,230.05
,229.87,243.40,230.24
,230.35,243.59,230.50
,230.67,244.07,231.02
,231.24,244.21,231.84
,232.52,244.43,232.74
,232.87,244.92,235.97
,234.72,245.10,236.26
,235.02,245.84,236.73
,235.31,246.02,236.95
,236.20,246.19,238.37
,237.73,246.43,239.40
,238.54,246.76,240.45
,240.66,247.15,240.48
,241.77,247.53,240.92
,242.20,247.81,241.82
,242.87,249.14,243.30
,243.74,250.12,243.58
,244.02,250.19,244.18
,244.27,250.34,244.31
,244.63,250.67,244.51
,245.17,251.14,244.90
,245.57,251.47,245.31
,245.78,251.81,245.52
,245.87,252.07,246.29
,246.25,253.37,246.42
,246.99,253.64,247.47
,247.35,253.90,249.49
,247.84,254.16,251.55
,248.20,254.88,252.28
,248.56,255.55,253.29
,249.26,255.68,253.52
,249.55,255.92,254.01
,250.42,258.02,255.88
,251.21,259.02,256.33
,253.64,259.20,257.04
,254.02,260.04,257.33
,254.64,261.08,257.63
,255.75,261.37,258.17
,257.10,263.41,258.36
,257.29,265.08,259.07
,258.47,266.05,259.62
,258.91,266.13,259.80
,259.30,267.32,260.49
,259.42,267.56,260.80
,259.88,268.12,261.48
,260.18,268.55,261.89
,260.55,268.99,262.92
,260.73,269.48,263.47
,261.10,271.83,263.81
,261.66,275.03,263.93
,261.93,275.23,264.70
,262.20,275.62,266.58
,262.78,275.75,267.60
,262.97,276.51,269.05
,264.48,276.76,270.42
,264.70,277.55,270.86
,264.96,277.94,271.09
,265.54,278.18,271.36
,266.06,278.33,271.62
,266.21,280.31,272.65
,267.67,280.82,272.73
,267.80,281.60,273.80
,268.26,282.15,274.19
,269.29,283.79,274.38
,270.12,284.05,274.80
,270.23,284.52,274.84
,270.74,284.88,275.10
,271.66,285.27,275.23
,272.36,286.03,275.54
,273.32,286.52,275.86
,273.63,286.76,276.07
,273.79,287.02,277.08
,274.38,287.96,277.95
,275.38,288.24,278.31
,275.59,289.65,278.68
,275.86,290.20,278.92
,278.36,290.36,279.10
,278.85,291.10,279.60
,279.43,291.33,279.84
,283.27,292.90,280.51
,284.15,293.75,280.90
,285.68,293.99,281.84
,286.32,294.20,281.98
,286.49,294.41,282.35
,286.83,294.73,282.55
,287.34,294.97,283.64
,287.66,295.12,284.35
,288.35,295.37,284.91
,288.98,296.40,285.20
,289.36,296.51,285.36
,289.75,297.02,285.93
,290.68,297.31,286.51
,290.97,297.68,287.66
,291.93,298.29,287.96
,292.59,298.47,288.33
,292.88,298.52,288.84
,293.13,298.70,288.96
,293.49,298.91,289.40
,295.07,299.44,289.99
,295.57,299.59,290.54
,296.50,300.84,290.78
,296.88,301.43,290.94
,297.07,301.80,291.15
,297.37,302.47,291.35
,297.77,302.90,291.50
,298.12,303.08,291.69
,298.63,305.15,292.71
,298.95,306.59,292.90
,299.13,309.45,293.24
,299.90,310.41,293.82
,300.13,311.08,293.98
,300.33,313.96,294.14
,300.45,314.11,294.51
,300.95,314.40,294.69
,303.55,314.67,294.83
,303.84,315.28,295.06
,305.71,315.85,295.45
,305.98,317.07,295.91
,306.96,317.45,296.26
,307.58,317.65,296.53
,308.10,318.33,296.78
,308.62,318.89,297.27
,308.77,319.37,297.50
,309.09,319.71,297.82
,309.53,320.56,298.14
,310.07,322.63,298.85
,311.16,323.47,299.12
,311.39,323.58,300.25
,311.53,324.43,300.45
,311.71,325.24,300.65
,312.58,325.96,301.18
,313.01,326.78,301.74
,315.81,326.92,302.54
,316.28,327.33,303.12
,316.51,327.52,303.88
,317.34,327.93,305.02
,317.61,328.31,306.84
,318.35,328.78,307.23
,318.83,329.25,307.43
,319.12,329.40,308.03
,319.26,330.13,308.43
,320.91,331.16,308.63
,321.80,331.59,308.84
,321.95,331.86,309.54
,322.63,332.06,310.17
,323.12,332.38,311.11
,323.51,332.51,312.73
,323.77,333.13,312.94
,324.67,334.25,314.00
,325.24,336.24,315.07
,325.44,336.35,315.62
,325.62,337.46,316.62
,325.99,337.84,317.38
,326.39,338.81,317.91
,326.96,339.90,318.36
,327.31,340.16,318.89
,327.61,340.39,319.66
,327.76,340.73,320.04
,328.68,340.88,320.22
,328.89,342.38,321.11
,329.14,342.48,321.65
,329.47,342.57,321.91
,329.83,343.05,322.60
,331.39,343.37,323.53
,332.51,343.61,326.02
,332.58,344.72,328.35
,333.06,345.10,328.45
,333.16,345.44,328.99
,333.80,347.71,329.09
,334.68,348.34,329.30
,335.42,350.02,330.72
,338.28,350.72,331.30
,339.40,354.06,332.15
,340.06,354.76,332.40
,341.30,354.89,332.96
,341.52,355.37,333.29
,341.78,356.23,333.59
,342.14,356.59,337.14
,342.47,356.90,337.35
,342.65,358.12,337.92
,343.35,359.10,338.12
,343.66,359.42,338.35
,344.20,359.63,338.93
,344.49,359.88,340.22
,345.04,360.02,341.13
,345.25,360.21,341.58
,345.90,360.54,341.88
,346.32,360.97,342.04
,346.41,361.36,342.33
,346.91,362.17,342.58
,347.43,365.08,343.15
,347.93,365.40,343.82
,348.11,365.74,344.47
,351.02,366.21,345.82
,351.36,366.51,346.30
,351.66,366.64,346.50
,352.18,367.18,347.42
,352.51,367.45,347.82
,353.85,367.92,347.97
,353.98,369.57,348.31
,354.39,370.33,348.43
,355.04,370.56,349.54
,355.28,370.70,350.72
,355.49,370.97,351.37
,355.67,371.20,351.76
,356.76,372.01,351.88
,357.03,372.50,352.22
,357.56,372.74,353.53
,357.80,373.51,353.79
,358.06,373.89,354.16
,358.30,374.71,356.49
,358.41,374.88,356.97
,358.60,378.42,357.33
,358.92,378.87,357.77
,359.23,379.21,358.81
,359.53,379.50,360.03
,359.86,380.35,361.01
,360.35,380.83,361.29
,360.63,381.13,363.54
,360.70,381.36,364.69
,360.95,381.62,365.03
,361.27,382.73,365.19
,361.61,384.26,365.48
,362.27,384.67,365.68
,362.45,386.37,365.97
,362.92,387.87,366.31
,363.23,388.05,366.93
,363.60,388.21,367.40
,363.85,388.47,367.60
,364.09,388.84,368.35
,364.28,389.27,370.17
,364.51,389.49,370.44
,364.79,389.64,370.65
,365.02,389.93,370.88
,365.17,390.21,371.25
,365.33,390.55,371.34
,365.43,391.07,371.56
,365.73,392.29,371.74
,365.88,394.03,372.21
,366.07,394.18,372.64
,366.45,395.31,372.85
,366.66,398.39,374.69
,367.80,399.87,376.28
,368.12,400.11,376.72
,368.42,400.54,377.42
,368.54,401.47,377.75
,368.78,402.71,377.95
,369.04,403.28,378.15
,369.31,403.70,378.87
,369.79,404.22,379.25
,370.40,405.63,380.53
,371.09,406.00,381.51
,371.38,407.13,381.82
,371.73,407.38,382.17
,372.44,407.57,382.36
,372.62,408.02,382.72
,372.74,408.48,384.49
,372.87,409.22,386.17
,373.42,409.51,386.36
,373.55,409.91,386.50
,373.90,412.47,386.77
,374.02,413.59,393.36
,374.22,413.84,393.78
,374.49,414.16,394.00
,374.85,414.51,394.57
,375.04,415.13,395.39
,375.49,415.48,396.83
,375.59,415.72,397.40
,375.86,416.47,399.22
,376.01,416.66,400.10
,376.93,416.79,401.96
,377.01,417.35,403.88
,377.21,417.73,404.55
,377.75,417.76,405.97
,378.11,417.92,406.51
,379.23,418.32,406.97
,379.40,419.40,407.63
,380.41,419.63,407.82
,380.82,420.27,407.90
,381.17,420.87,408.03
,381.28,421.74,408.34
,381.74,422.44,408.60
,381.91,422.62,408.70
,382.05,423.32,408.90
,382.19,423.54,409.24
,382.72,423.80,409.60
,382.79,424.20,409.95
,383.03,424.58,410.23
,383.52,424.99,410.47
,383.62,427.05,414.12
,383.84,427.47,414.33
,384.49,428.29,414.65
,384.72,430.08,414.95
,384.97,430.89,415.28
,385.28,431.63,415.67
,385.57,432.45,418.09
,386.08,432.90,419.12
,386.23,433.26,420.77
,386.45,433.59,421.44
,386.60,434.08,421.59
,386.69,435.20,421.71
,386.86,436.83,422.21
,387.04,436.97,422.95
,387.57,437.21,423.25
,387.92,437.58,423.54
,388.02,438.47,424.73
,388.22,438.77,425.01
,388.39,446.68,426.63
,388.54,447.14,427.09
,388.77,447.21,427.45
,389.19,447.44,427.62
,389.29,448.09,428.28
,389.46,448.59,428.76
,389.90,449.22,429.06
,390.44,450.01,429.60
,390.48,450.32,429.93
,390.85,450.86,430.06
,391.11,450.97,430.39
,391.72,451.60,431.30
,391.93,451.90,432.54
,392.21,452.23,432.77
,392.49,453.62,433.32
,392.59,458.33,433.84
,392.86,460.12,434.12
,393.40,462.86,434.31
,393.55,466.63,434.63
,394.29,467.39,435.27
,394.67,471.15,435.44
,394.88,473.49,435.70
,395.17,474.19,436.92
,395.51,474.34,437.27
,395.78,474.73,437.61
,395.85,475.09,437.79
,396.05,478.32,437.96
,396.22,478.69,438.26
,396.31,478.94,438.71
,397.07,479.16,438.94
,397.43,479.66,439.11
,397.74,479.90,439.41
,397.92,480.17,439.73
,398.61,480.34,440.06
,398.83,480.79,440.37
,399.45,482.09,440.53
,399.95,485.42,440.93
,400.61,485.81,445.85
,400.75,486.00,446.22
,400.95,486.35,446.74
,401.25,486.55,446.92
,401.42,486.76,447.44
,401.92,487.00,447.75
,402.72,487.11,448.24
,402.94,487.47,449.23
,403.19,489.59,449.61
,403.76,490.31,450.30
,404.13,490.47,451.17
,404.24,490.99,451.41
,404.78,491.32,451.74
,405.11,491.95,452.38
,405.44,493.82,452.43
,405.88,498.60,452.97
,406.23,500.45,453.06
,406.29,504.19,453.58
,406.64,504.47,453.74
,406.77,504.74,454.00
,406.93,505.91,454.30
,407.40,507.98,454.54
,407.73,509.33,455.33
,408.08,511.32,455.97
,408.68,511.64,456.06
,408.85,511.92,456.38
,409.08,512.38,456.65
,409.25,512.69,456.84
,409.62,514.29,456.95
,410.06,514.70,457.46
,410.50,515.01,457.68
,411.26,515.15,458.44
,413.89,515.37,458.73
,414.25,515.49,458.91
,415.47,516.31,459.10
,415.66,516.75,459.43
,416.22,517.44,459.86
,416.88,518.51,460.28
,417.04,518.70,460.61
,417.17,518.86,460.99
,417.75,519.10,461.98
,417.94,519.15,462.27
,418.16,519.70,462.81
,418.65,519.96,463.49
,418.88,521.64,463.92
,419.43,522.61,464.17
,419.58,522.73,464.42
,419.70,522.91,464.60
,419.86,523.25,464.65
,420.65,525.78,465.05
,421.24,525.99,465.50
,421.74,526.56,466.06
,422.08,528.14,466.64
,422.22,530.15,466.81
,422.95,532.83,467.00
,423.14,533.03,467.34
,423.42,533.61,467.56
,423.69,533.71,467.63
,424.06,533.95,467.82
,424.14,534.26,468.20
,424.37,534.56,468.37
,425.04,534.86,468.52
,425.30,535.20,473.98
,425.96,535.41,474.46
,426.29,535.76,474.74
,426.44,536.79,476.00
,426.54,536.98,476.49
,427.06,537.08,477.74
,427.71,537.51,478.18
,428.18,538.15,478.43
,428.26,538.49,478.66
,428.35,540.24,479.06
,428.64,540.69,479.26
,429.04,541.02,479.65
,429.82,542.40,479.94
,430.10,542.80,480.27
,430.29,543.81,481.07
,430.39,545.65,481.74
,430.56,548.58,482.93
,431.11,548.80,483.63
,431.31,549.21,483.91
,431.43,549.45,484.18
,432.25,549.72,484.53
,432.42,549.88,484.84
,432.79,550.03,485.26
,433.00,550.18,485.65
,433.32,550.49,486.11
,433.63,551.74,486.47
,433.78,551.93,487.01
,433.99,552.19,488.09
,434.69,552.35,488.39
,435.01,552.93,488.69
,435.40,553.31,488.90
,435.88,553.52,489.50
,436.09,553.71,489.83
,436.55,554.79,491.00
,437.03,555.01,491.66
,437.17,555.32,491.95
,437.34,555.53,492.35
,437.62,555.72,492.54
,438.13,556.32,493.09
,438.41,556.82,493.70
,439.08,558.03,493.99
,439.16,558.21,494.45
,439.46,558.48,495.16
,439.66,559.19,495.86
,439.85,559.88,496.45
,440.25,560.66,497.06
,440.41,560.81,497.92
,440.82,561.16,499.04
,441.27,561.42,499.45
,441.59,561.59,499.63
,441.73,562.06,499.77
,441.93,562.33,499.95
,442.40,562.60,500.31
,443.10,562.72,501.60
,443.91,563.27,501.93
,444.16,563.76,502.18
,444.44,563.91,502.44
,444.85,564.09,503.93
,445.62,564.24,504.34
,446.03,564.53,504.43
,446.49,564.71,504.55
,446.65,566.60,504.73
,446.82,566.71,504.84
,447.06,567.00,505.01
,447.17,567.14,505.23
,447.57,567.30,505.54
,448.29,567.53,505.88
,448.90,568.50,506.31
,449.16,570.13,506.60
,449.50,570.41,506.88
,449.59,570.53,507.28
,449.90,570.91,507.39
